import time: self [us] | cumulative | imported package
import time:        97 |         97 |     django.contrib.staticfiles.utils
import time:       246 |        342 |   django.contrib.staticfiles.finders
import time:       761 |       1102 | django.contrib.staticfiles.checks
import time:       981 |        981 | django.contrib.contenttypes.models
import time:       319 |        319 |   django.contrib.auth.password_validation
import time:       539 |        539 |   django.contrib.auth.hashers
import time:      4706 |       4706 |       _sqlite3
import time:       220 |       4925 |     sqlite3.dbapi2
import time:       509 |       5434 |   sqlite3
import time:       203 |        203 |     django.db.backends.base
import time:       211 |        211 |     django.db.backends.base.validation
import time:       205 |        205 |     django.db.backends.signals
import time:       573 |        573 |     django.utils.asyncio
import time:       426 |       1616 |   django.db.backends.base.base
import time:       657 |        657 |       fractions
import time:      1200 |       1200 |       _statistics
import time:       349 |       2205 |     statistics
import time:       305 |       2510 |   django.db.backends.sqlite3._functions
import time:        97 |         97 |     django.db.backends.base.client
import time:       111 |        208 |   django.db.backends.sqlite3.client
import time:       417 |        417 |         multiprocessing.process
import time:       286 |        286 |         multiprocessing.reduction
import time:       429 |       1131 |       multiprocessing.context
import time:      1285 |       2415 |     multiprocessing
import time:       233 |        233 |     django.db.backends.base.creation
import time:       199 |       2846 |   django.db.backends.sqlite3.creation
import time:       220 |        220 |     django.db.backends.base.features
import time:       250 |        470 |   django.db.backends.sqlite3.features
import time:       185 |        185 |         sqlparse.tokens
import time:       588 |        588 |         sqlparse.utils
import time:       524 |       1296 |       sqlparse.sql
import time:       290 |        290 |         sqlparse.exceptions
import time:       254 |        544 |       sqlparse.cli
import time:       346 |        346 |         sqlparse.engine.grouping
import time:       356 |        356 |             sqlparse.keywords
import time:       232 |        588 |           sqlparse.lexer
import time:       656 |        656 |           sqlparse.engine.statement_splitter
import time:       576 |        576 |             sqlparse.filters.others
import time:       134 |        134 |             sqlparse.filters.output
import time:       129 |        129 |             sqlparse.filters.tokens
import time:       271 |        271 |             sqlparse.filters.reindent
import time:       109 |        109 |             sqlparse.filters.right_margin
import time:       330 |        330 |             sqlparse.filters.aligned_indent
import time:       202 |       1749 |           sqlparse.filters
import time:       187 |       3179 |         sqlparse.engine.filter_stack
import time:       264 |       3787 |       sqlparse.engine
import time:       109 |        109 |       sqlparse.formatter
import time:       406 |       6139 |     sqlparse
import time:       347 |        347 |     django.db.backends.base.introspection
import time:       329 |       6814 |   django.db.backends.sqlite3.introspection
import time:       338 |        338 |     django.db.backends.base.operations
import time:       387 |        725 |   django.db.backends.sqlite3.operations
import time:       308 |        308 |       django.db.backends.ddl_references
import time:       427 |        735 |     django.db.backends.base.schema
import time:       259 |        994 |   django.db.backends.sqlite3.schema
import time:      1162 |      23632 | django.contrib.auth.base_user
import time:       257 |        257 | django.contrib.auth.validators
import time:       258 |        258 | django.utils.translation.reloader
import time:       391 |        391 | django.contrib.sessions.base_session
import time:       759 |        759 | services.models
import time:       229 |        229 |   django.contrib.auth.tokens
import time:       206 |        206 |     django.contrib.sites
import time:       744 |        744 |     django.contrib.sites.requests
import time:       266 |       1214 |   django.contrib.sites.shortcuts
import time:      1090 |       2532 | django.contrib.auth.forms
import time:       427 |        427 | django.contrib.contenttypes.fields
import time:       254 |        254 | django.contrib.contenttypes.forms
import time:       169 |        169 |   billing.services
import time:       432 |        601 | billing.signals
import time:       121 |        121 | django.core.cache.utils
import time:       367 |        367 | django.contrib.admin.views.main
import time:       275 |        275 | django.contrib.admin.templatetags.base
import time:      5517 |       5517 |     django.shortcuts
import time:       112 |       5628 |   django.contrib.auth.decorators
import time:       428 |       6056 | django.contrib.auth.views
import time:       186 |        186 | django.contrib.contenttypes.views
import time:       597 |        597 |   accounts.forms
import time:       340 |        340 |   accounts.services
import time:       328 |        328 |   accounts.utils
import time:       273 |       1536 | accounts.views
import time:       356 |        356 | landing.views
import time:       714 |        714 |   crm.forms
import time:       260 |        973 | crm.views
import time:       248 |        248 | services.views
import time:   4084361 |    4084361 | scheduling.views
import time:   6925901 |    6925901 | billing.views
import time:       934 |        934 |   django.views.defaults
import time:      1136 |       2069 | django.conf.urls
import time:      1654 |       1654 | django.contrib.auth.backends
import time:       328 |        328 |   django.contrib.sessions.backends
import time:      1363 |       1690 | django.contrib.sessions.backends.base
import time:       244 |        244 | django.contrib.sessions.exceptions
System check identified some issues:

WARNINGS:
[33;1m?: (urls.W002) Your URL pattern '/' [name='services_home'] has a route beginning with a '/'. Remove this slash as it is unnecessary. If this pattern is targeted in an include(), ensure the include() pattern has a trailing '/'.[0m
[33;1m?: (urls.W002) Your URL pattern '/create/' [name='create_service'] has a route beginning with a '/'. Remove this slash as it is unnecessary. If this pattern is targeted in an include(), ensure the include() pattern has a trailing '/'.[0m
[33;1m?: (urls.W005) URL namespace 'scheduling' isn't unique. You may not be able to reverse all URLs in this namespace[0m

System check identified 3 issues (0 silenced).
import time:       253 |        253 | gc
